Name,Value,Start,Size,Color
uchar makerom[4192],,0h,1060h,Fg: Bg:0xFFFFC4
uchar boot[73488],,1060h,11F10h,Fg: Bg:0xFFFFC4
uchar dmadata[24768],,12F70h,60C0h,Fg: Bg:0xFFFFC4
uchar Audiobank[179648],,19030h,2BDC0h,Fg: Bg:0xFFFFC4
uchar Audioseq[326272],,44DF0h,4FA80h,Fg: Bg:0xFFFFC4
uchar dmadata[24768],,77680h,60C0h,Fg: Bg:0xFFFFC4
uchar Audiotable[4526992],,94870h,451390h,Fg: Bg:0xFFFFC4
uchar Audiobank[179648],,102448h,2BDC0h,Fg: Bg:0xFFFFC4
uchar Audioseq[326272],,282096h,4FA80h,Fg: Bg:0xFFFFC4
uchar link_animetion[2513968],,4E5C00h,265C30h,Fg: Bg:0xFFFFC4
uchar icon_item_static[564384],,74C000h,89CA0h,Fg: Bg:0xFFFFC4
uchar icon_item_24_static[46080],,7D6000h,B400h,Fg: Bg:0xFFFFC4
uchar icon_item_field_static[47408],,7E2000h,B930h,Fg: Bg:0xFFFFC4
uchar icon_item_dungeon_static[7552],,7EE000h,1D80h,Fg: Bg:0xFFFFC4
uchar icon_item_gameover_static[15488],,7F0000h,3C80h,Fg: Bg:0xFFFFC4
uchar icon_item_nes_static[56448],,7F4000h,DC80h,Fg: Bg:0xFFFFC4
uchar icon_item_ger_static[60288],,802000h,EB80h,Fg: Bg:0xFFFFC4
uchar icon_item_fra_static[62592],,811000h,F480h,Fg: Bg:0xFFFFC4
uchar item_name_static[377856],,821000h,5C400h,Fg: Bg:0xFFFFC4
uchar map_name_static[205824],,87E000h,32400h,Fg: Bg:0xFFFFC4
uchar do_action_static[33408],,8B1000h,8280h,Fg: Bg:0xFFFFC4
uchar message_static[16768],,8BA000h,4180h,Fg: Bg:0xFFFFC4
uchar message_texture_static[4608],,8BF000h,1200h,Fg: Bg:0xFFFFC4
uchar nes_font_static[17920],,8C1000h,4600h,Fg: Bg:0xFFFFC4
uchar nes_message_data_static[229664],,8C6000h,38120h,Fg: Bg:0xFFFFC4
uchar ger_message_data_static[244176],,8FF000h,3B9D0h,Fg: Bg:0xFFFFC4
uchar fra_message_data_static[225728],,93B000h,371C0h,Fg: Bg:0xFFFFC4
uchar staff_message_data_static[3920],,973000h,F50h,Fg: Bg:0xFFFFC4
uchar map_grand_static[58192],,974000h,E350h,Fg: Bg:0xFFFFC4
uchar map_48x85_static[138720],,983000h,21DE0h,Fg: Bg:0xFFFFC4
uchar map_i_static[975120],,9A5000h,EE110h,Fg: Bg:0xFFFFC4
uchar code[1290032],,A94000h,13AF30h,Fg: Bg:0xFFFFC4
uchar ovl_title[2960],,BCEF30h,B90h,Fg: Bg:0xFFFFC4
uchar ovl_select[12384],,BCFAC0h,3060h,Fg: Bg:0xFFFFC4
uchar ovl_opening[336],,BD2B20h,150h,Fg: Bg:0xFFFFC4
uchar ovl_file_choose[64192],,BD2C70h,FAC0h,Fg: Bg:0xFFFFC4
uchar ovl_kaleido_scope[125312],,BE2730h,1E980h,Fg: Bg:0xFFFFC4
uchar ovl_player_actor[157840],,C010B0h,26890h,Fg: Bg:0xFFFFC4
uchar ovl_map_mark_data[27360],,C27940h,6AE0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Test[22704],,C2E420h,58B0h,Fg: Bg:0xFFFFC4
uchar ovl_Arms_Hook[3600],,C33CD0h,E10h,Fg: Bg:0xFFFFC4
uchar ovl_Arrow_Fire[8128],,C34AE0h,1FC0h,Fg: Bg:0xFFFFC4
uchar ovl_Arrow_Ice[8160],,C36AA0h,1FE0h,Fg: Bg:0xFFFFC4
uchar ovl_Arrow_Light[8176],,C38A80h,1FF0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Bdan_Objects[4976],,C3AA70h,1370h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Bdan_Switch[5440],,C3BDE0h,1540h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Bom_Guard[640],,C3D320h,280h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Bombwall[2448],,C3D5A0h,990h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Bowl_Wall[2688],,C3DF30h,A80h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Breakwall[3792],,C3E9B0h,ED0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ddan_Jd[1600],,C3F880h,640h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ddan_Kd[2320],,C3FEC0h,910h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Dodoago[3520],,C407D0h,DC0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Dy_Yoseizo[12528],,C41590h,30F0h,Fg: Bg:0xFFFFC4
