Name,Value,Start,Size,Color
uchar Z2_20SICHITAI2[67120],,213B000h,10630h,Fg: Bg:0xFFFFC4
uchar Z2_WITCH_SHOP[43968],,2189000h,ABC0h,Fg: Bg:0xFFFFC4
uchar Z2_LAST_BS[30848],,219E000h,7880h,Fg: Bg:0xFFFFC4
uchar Z2_HAKASHITA[50816],,21AF000h,C680h,Fg: Bg:0xFFFFC4
uchar Z2_AYASHIISHOP[13472],,21DF000h,34A0h,Fg: Bg:0xFFFFC4
uchar Z2_BOWLING[16544],,222C000h,40A0h,Fg: Bg:0xFFFFC4
uchar Z2_SONCHONOIE[29952],,2236000h,7500h,Fg: Bg:0xFFFFC4
uchar Z2_IKANA[123776],,2264000h,1E380h,Fg: Bg:0xFFFFC4
uchar Z2_KAIZOKU[72992],,22BE000h,11D20h,Fg: Bg:0xFFFFC4
uchar Z2_MILK_BAR[54224],,22E4000h,D3D0h,Fg: Bg:0xFFFFC4
uchar Z2_INISIE_N[75312],,22FD000h,12630h,Fg: Bg:0xFFFFC4
uchar Z2_TAKARAYA[39040],,235F000h,9880h,Fg: Bg:0xFFFFC4
uchar Z2_INISIE_R[73856],,2371000h,12080h,Fg: Bg:0xFFFFC4
uchar Z2_OKUJOU[110496],,23CB000h,1AFA0h,Fg: Bg:0xFFFFC4
uchar Z2_OPENINGDAN[44640],,23E9000h,AE60h,Fg: Bg:0xFFFFC4
uchar Z2_MITURIN[95120],,2407000h,17390h,Fg: Bg:0xFFFFC4
uchar Z2_13HUBUKINOMITI[32240],,2477000h,7DF0h,Fg: Bg:0xFFFFC4
uchar Z2_CASTLE[63600],,2484000h,F870h,Fg: Bg:0xFFFFC4
uchar Z2_DEKUTES[36496],,24D6000h,8E90h,Fg: Bg:0xFFFFC4
uchar Z2_MITURIN_BS[12720],,24E4000h,31B0h,Fg: Bg:0xFFFFC4
uchar Z2_SYATEKI_MIZU[38592],,24EA000h,96C0h,Fg: Bg:0xFFFFC4
uchar Z2_HAKUGIN[113104],,24FB000h,1B9D0h,Fg: Bg:0xFFFFC4
uchar Z2_ROMANYMAE[14000],,258E000h,36B0h,Fg: Bg:0xFFFFC4
uchar Z2_PIRATE[83536],,2596000h,14650h,Fg: Bg:0xFFFFC4
uchar Z2_SYATEKI_MORI[72912],,2633000h,11CD0h,Fg: Bg:0xFFFFC4
uchar Z2_SINKAI[40608],,264C000h,9EA0h,Fg: Bg:0xFFFFC4
uchar Z2_YOUSEI_IZUMI[144320],,265E000h,233C0h,Fg: Bg:0xFFFFC4
