Algorithm,Checksum/Digest
Checksum - UByte (8 bit),00000001 1E808206
Checksum - UShort (16 bit) - Little Endian,00000091 220DDE88
Checksum - UShort (16 bit) - Big Endian,0000008E 7CF4A97E
Checksum - UInt (32 bit) - Little Endian,00490CF5 2D25C6C3
Checksum - UInt (32 bit) - Big Endian,0048D6DB 3B5D1480
Checksum - UInt64 (64 bit) - Little Endian,5EEE1B9F CE5B743C
Checksum - UInt64 (64 bit) - Big Endian,B95A3EC6 8226D332
CRC-16,6F8D
CRC-16/CCITT,F275
CRC-32,DEBAFB7A
Adler32,E4284C86
MD2,35209BA6B8AC7D4DC574DE6514FBE9EE
MD4,00BE68F05F8707C2AC9A6CAE293B56A6
MD5,F4B6003FD6294F6C8C15A9BB787F670D
RIPEMD160,88899131C756033AC76BE38EA54CB91586D2A0E6
SHA-1,3C38CA869029AA7B0B866EDC059B3BD8E1365A10
SHA-256,CB6F897379FA94AD528BF6272AAA7BCF48BA30157AAC7ECBBB99FC35F88097DC
SHA-512,D47D641130D88B257C2ABDD346766C859F54715D1B39C4F1F560BCD324F02545860366348A34C6AABF3AE588DF73C7150A2531EE23D281C8B75C6A5DC8D88D60
TIGER,8776C331DA8A237D560DB987BA805A91B6EA18507CE79139
