Algorithm,Checksum/Digest
Checksum - UByte (8 bit),00000001 D382570B
Checksum - UShort (16 bit) - Little Endian,000000EC 5640F243
Checksum - UShort (16 bit) - Big Endian,000000E8 FF986FC8
Checksum - UInt (32 bit) - Little Endian,0076B2AE C3ADD29D
Checksum - UInt (32 bit) - Big Endian,007681A6 1731D6FB
Checksum - UInt64 (64 bit) - Little Endian,1F8F314C A458FEF6
Checksum - UInt64 (64 bit) - Big Endian,C480A722 52EC0EFD
CRC-16,AD5B
CRC-16/CCITT,4255
CRC-32,687D8395
Adler32,DE25BD3F
MD2,CC4FBADD7C63B26749CD9D53E1D6C146
MD4,D26023FEBF8F972F41C803080F21742B
MD5,71FBAE5D2B27926EA54E92CE2FC91622
RIPEMD160,7154D5826877E22D4394846F999C3B5BA00F8994
SHA-1,B38B71D2961DFFB523020A67F4807A4B704E347A
SHA-256,9127FD52A05666D0A9A0E278429A758323D507ADD3089AC0EC315616E3ED1FF8
SHA-512,3EE7F7C3AC6F129B3FEEADA71CDA533EFE751EF39DD3B2BCD9113389457FD604C86E1A2EF30A912EDBC392F6D92E58A15C62FD560E3308FDC0221CDFC6AB840B
TIGER,CD6A864F140B947A336DC56DF51DBE6463FFB2CAF67C8CE8
