Algorithm,Checksum/Digest
Checksum - UByte (8 bit),00000001 08D955B3
Checksum - UShort (16 bit) - Little Endian,00000087 D3FE7A17
Checksum - UShort (16 bit) - Big Endian,00000082 0E308E9C
Checksum - UInt (32 bit) - Little Endian,0043E330 53DF174A
Checksum - UInt (32 bit) - Big Endian,0045D352 07C7C1EF
Checksum - UInt64 (64 bit) - Little Endian,06258A51 4DDAD31C
Checksum - UInt64 (64 bit) - Big Endian,432298C0 C4C76316
CRC-16,E10E
CRC-16/CCITT,7E54
CRC-32,7F702FBE
Adler32,59A4DB4C
MD2,6DA563150F374A410FC5E2E1489965CA
MD4,1632A20777DE2D0DAB595F430B89B452
MD5,1AD391B9DF43CE3665D4F5D8771A42E9
RIPEMD160,4E7FA1F55BD7C219C1F9E046B59617987E3B8794
SHA-1,14D10A0EEFB75A720FFBF68540D6C582C4119E9E
SHA-256,6312F1CBC3D5BB90E44CB80E230FEF4F6780271C9E79FD769973C588DB6BB662
SHA-512,CB3FC0184ACB487D9491508EA995318E0CC2F7209AD63409F9D4D05CA6EE750611C5EEE745D564DD215B4086E4196A777A07383146701A8587C846FE26A78EA0
TIGER,5BEBFDF2A33DDD90D146DBDD2DCCE229CD4139599B7DC96A
