Algorithm,Checksum/Digest
Checksum - UByte (8 bit),00000000 EF2C42A6
Checksum - UShort (16 bit) - Little Endian,0000007B 36DFADC5
Checksum - UShort (16 bit) - Big Endian,00000074 E48F3AE1
Checksum - UInt (32 bit) - Little Endian,003E899B 185742EF
Checksum - UInt (32 bit) - Big Endian,003EBB46 1B21493F
Checksum - UInt64 (64 bit) - Little Endian,213A65FE F73ACC07
Checksum - UInt64 (64 bit) - Big Endian,EFA02E11 2B9FCC51
CRC-16,2898
CRC-16/CCITT,2A39
CRC-32,A5635F49
Adler32,5CB2470D
MD2,54B1992D713F5F6102B22CD50FD1DA7C
MD4,6EDECD9F441279561F19B470FAD51E99
MD5,583368D43ED0C44A8DAD79F09F0F3A45
RIPEMD160,82486CAB96C4C9B521A5E984FA5920FAA8E933D1
SHA-1,9FA21F8FC04BC06DCE0725526680B66C26CB44E0
SHA-256,3224108FFF721883D3698B85D3D3741A0FA34D6A1169E4EE5DF5DA67F99C9934
SHA-512,BDEB412C69D2A155965A5349C797F9161C49F4045222C18CFAC2B06A0EB63D4179E7D44600B6BD093A1839FC97E3DB12B9CA985F60F90269C362110FC9BBA01D
TIGER,50EB348381DDABDC47C5218BF5231AE02932232A7F06DC38
